date,value,cash,positions,peak,dd,month,year
2022-05-03,2341658.1300000045,2251578.6800000044,8,2371704.380000002,-1.2668631998730653,2022-05,2022
2022-05-04,2342641.170000004,2241579.3500000043,9,2371704.380000002,-1.2254145265776368,2022-05,2022
2022-05-05,2343123.9000000046,2250283.7400000044,8,2371704.380000002,-1.2050608094756576,2022-05,2022
2022-05-06,2343474.4400000046,2250283.7400000044,8,2371704.380000002,-1.1902807212422313,2022-05,2022
2022-05-09,2342449.6500000046,2250283.7400000044,8,2371704.380000002,-1.2334897319706273,2022-05,2022
2022-05-10,2342134.520000004,2250283.7400000044,8,2371704.380000002,-1.246776801078302,2022-05,2022
2022-05-11,2341248.4700000044,2270698.1300000045,6,2371704.380000002,-1.284136010239092,2022-05,2022
2022-05-12,2340601.1700000046,2279767.0500000045,5,2371704.380000002,-1.311428619109672,2022-05,2022
2022-05-13,2340629.1900000046,2279767.0500000045,5,2371704.380000002,-1.3102471902504809,2022-05,2022
2022-05-16,2340684.8100000042,2279767.0500000045,5,2371704.380000002,-1.3079020413158717,2022-05,2022
2022-05-17,2340900.4700000044,2279767.0500000045,5,2371704.380000002,-1.2988090024945602,2022-05,2022
2022-05-18,2340559.4800000046,2279767.0500000045,5,2371704.380000002,-1.3131864267163662,2022-05,2022
2022-05-19,2340361.7200000044,2289297.3300000043,4,2371704.380000002,-1.321524734039484,2022-05,2022
2022-05-20,2340027.540000004,2308477.4100000043,3,2371704.380000002,-1.3356150229818253,2022-05,2022
2022-05-23,2339906.1000000043,2308477.4100000043,3,2371704.380000002,-1.3407353913137312,2022-05,2022
2022-05-24,2340133.9700000044,2308477.4100000043,3,2371704.380000002,-1.3311275328503542,2022-05,2022
2022-05-25,2340356.1200000043,2308477.4100000043,3,2371704.380000002,-1.3217608511562424,2022-05,2022
2022-05-26,2340654.020000004,2308477.4100000043,3,2371704.380000002,-1.3092002638203155,2022-05,2022
2022-05-27,2340758.670000004,2308477.4100000043,3,2371704.380000002,-1.3047878252009668,2022-05,2022
2022-05-31,2340937.670000004,2308477.4100000043,3,2371704.380000002,-1.2972405102189875,2022-05,2022
2022-06-01,2341152.3400000045,2308477.4100000043,3,2371704.380000002,-1.288189213530806,2022-06,2022
2022-06-02,2341690.520000004,2308477.4100000043,3,2371704.380000002,-1.2654975153352788,2022-06,2022
2022-06-03,2342136.5700000045,2308477.4100000043,3,2371704.380000002,-1.24669036534805,2022-06,2022
2022-06-06,2342564.3300000043,2311874.7000000044,3,2371704.380000002,-1.228654390729671,2022-06,2022
2022-06-07,2343165.500000004,2311874.7000000044,3,2371704.380000002,-1.203306796608353,2022-06,2022
2022-06-08,2343406.5700000045,2311874.7000000044,3,2371704.380000002,-1.1931423763697606,2022-06,2022
2022-06-09,2343163.520000004,2311874.7000000044,3,2371704.380000002,-1.2033902808746333,2022-06,2022
2022-06-10,2342663.0900000045,2311874.7000000044,3,2371704.380000002,-1.224490296720609,2022-06,2022
2022-06-13,2341866.5900000045,2311874.7000000044,3,2371704.380000002,-1.2580737402018747,2022-06,2022
2022-06-14,2341079.3600000045,2311874.7000000044,3,2371704.380000002,-1.2912663255273686,2022-06,2022
2022-06-15,2340484.4700000044,2311874.7000000044,3,2371704.380000002,-1.3163491311677635,2022-06,2022
2022-06-16,2339502.1500000046,2330370.0200000047,1,2371704.380000002,-1.357767446548192,2022-06,2022
2022-06-17,2339442.370000005,2330370.0200000047,1,2371704.380000002,-1.3602879967695392,2022-06,2022
2022-06-21,2339451.680000005,2330370.0200000047,1,2371704.380000002,-1.359895452062932,2022-06,2022
2022-06-22,2339386.0200000047,2330370.0200000047,1,2371704.380000002,-1.3626639252568868,2022-06,2022
2022-06-23,2339246.8600000045,2330370.0200000047,1,2371704.380000002,-1.3685314356082465,2022-06,2022
2022-06-24,2339273.8100000047,2330370.0200000047,1,2371704.380000002,-1.3673951219838567,2022-06,2022
2022-06-27,2339362.990000005,2330370.0200000047,1,2371704.380000002,-1.3636349568995316,2022-06,2022
2022-06-28,2339485.0000000047,2330370.0200000047,1,2371704.380000002,-1.3584905552182491,2022-06,2022
2022-06-29,2339553.1100000045,2330370.0200000047,1,2371704.380000002,-1.3556187807857258,2022-06,2022
2022-06-30,2339567.8100000047,2320378.6100000045,2,2371704.380000002,-1.3549989733542371,2022-06,2022
